Metric;Static (S) or Temporal (T) Data Layer, or Not Available/Applicable (NA);Pressure (P), State(S), Response (R), Benefit (B) ;Top-down (T), Bottom-up (B), Neither (0), Unknown (U) [State metrics only];Significance (S), Intactness (I), Neither (0), Unknown (U) [State metrics only];Realm;Composition;Function;Structure;Biosfere level;Ecosystem level;Community level;Species level;Functional group level;Individual level;Genome level;Chromosome level;Gene level;Enzyme level;Type of organism;Business Use
LUCAS (Land Use and Coverage Area frame Survey);T;S,P;B;0;Terrestrial;0;0;1;0;1;0;0;0;0;0;0;0;0;Plants;N
Madingley Model of Functional Dissimilarity;S;S;T;0;Terrestrial Marine Freshwater;0;1;0;1;1;1;0;0;0;0;0;0;0;Plants Animals ;N
Madingley Model of Functional Richness;S;S;T;0;Terrestrial Marine Freshwater;0;1;0;1;1;1;0;0;0;0;0;0;0;Plants Animals ;N
Major Agricultural Systems;S;S;T;0;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
Mammalian Genetic Diversity;S;S;B;S;Terrestrial Marine Freshwater;1;0;0;1;1;1;1;1;0;1;0;1;0;Mammals;N
Map of Three Global Conditions: Cities and Farms, Shared Lands, and Large Wild Areas;S;S;T;I;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
Mapping global cropland and field size;S;S,B;B;0;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
Mapping the irrecoverable carbon in Earth's ecosystems;S;S;B;0;Terrestrial;0;1;0;1;1;0;0;0;0;0;0;0;0;Plants;N
Mean regional bird diversity (cSAR);S;S;T;I;Terrestrial;1;0;0;1;1;0;0;0;0;0;0;0;0;Plants;Y
Mean Species Abundance (MSA);T;S;T;I;Terrestrial;1;0;0;1;1;0;0;0;0;0;0;0;0;Plants Animals ;Y
MODIS Gross Primary Production (GPP) 2000-2020;T;S;B;0;Terrestrial;0;1;0;1;1;0;0;0;0;0;0;0;0;Plants;N
MODIS Land Cover Dynamics (Land Cover Dynamics Yearly L3 Global 1km);T;S;B;I;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
MODIS NDVI 2000 - 2020;T;S;B;0;Terrestrial;0;1;0;1;1;0;0;0;0;0;0;0;0;Plants;N
MODIS Net Primary Production (NPP) 2000-2019;T;S;B;0;Terrestrial;0;1;0;1;1;0;0;0;0;0;0;0;0;Plants;N
MODIS Terra+Aqua Combined Land Cover (Land Cover Type Yearly L3 Global 500m);T;S;B;I;Terrestrial Marine Freshwater;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
MODIS/Aqua+Terra Global Flood Product L3 NRT 250m;S;S;B;0;Terrestrial Marine Freshwater;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
MODIS/Terra Vegetation Indices 16-Day L3 Global 250 m SIN Grid (MOD13Q1 v006);S;S;B;0;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
Mountain Green Cover Index;T;S;B;I;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
Multidimensional Biodiversity Index (MBI);NA;S,B;0;S,I;Terrestrial Freshwater;1;1;0;0;1;0;0;0;0;0;0;0;0;Plants Animals ;N
NatureMap - Areas of global significance for restoration;S;S,R;T;S;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
NatureMap - Forest Biodiversity Intactness Index;S;S;T;I;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
NatureMap - Global Habitats;T;S;T;0;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
NatureMap - Live Biomass Carbon Density;S;S;B;0;Terrestrial;0;1;0;1;1;0;0;0;0;0;0;0;0;Plants;N
NatureMap: Areas of global importance for conserving terrestrial biodiversity, carbon, and water;S;S;B;S;Terrestrial;1;1;0;1;1;0;0;0;0;0;0;0;0;Plants;N
NatureMap: Rarity-weighted richness;S;S;B;S;Terrestrial Marine Freshwater;1;0;0;1;1;0;0;0;0;0;0;0;0;NA;Y
NatureMap: Total vulnerable carbon density (beta version);S;S;B;0;Terrestrial;0;1;0;1;0;0;0;0;0;0;0;0;0;Plants;N
NatureMap: Vulnerable soil organic carbon density;T;S;B;0;Terrestrial;0;1;0;1;0;0;0;0;0;0;0;0;0;Plants;N
Net primary productivity;T;S;B;0;Terrestrial;0;1;0;1;1;0;0;0;0;0;0;0;0;Plants;N
Net Primary Productivity (1 month - Terra/MODIS);S;S;B;0;Terrestrial;0;1;0;1;1;0;0;0;0;0;0;0;0;Plants;N
NOAA Climate Data Record (CDR) of AVHRR Normalized Difference Vegetation Index (NDVI);T;S;B;0;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
Number of species extinctions (birds and mammals);T;S,P;B;S;Terrestrial;1;0;0;1;1;0;0;0;0;0;0;0;0;Plants;N
Number of species with Green Status (IUCN Red List) assessments of ‘Recovered’;T;S,R;B;I;Terrestrial;1;0;0;1;1;1;0;1;0;0;0;0;0;Mammals birds;N
Number of threatened species recorded in BGCI’s ThreatSearch database;NA;S;B;S;Terrestrial;1;0;0;0;1;1;1;1;0;0;0;0;0;Plants;N
